Land;Kanton;Ort;Typ;Name;URL;Kibesuisse;QualiKita;Qualis;Purzelbaum;Fourchette Verte;Pädagogisches Konzept;Tarife;Ernährungsprinzip;Altersgruppe;Anzähl Plätze;Zeitfenster;Mindestbetreuung;Mehrsprachigkeit;Subventionen
Schweiz;Zug;6330 Cham;Kita;Children's World Cham;www.childrensworld.ch;Ja;;;;;http://childrensworld.ch/zweisprachigkeit-bei-childrens-world/;http://childrensworld.ch/tarifmodelle/;;;;;;;
Schweiz;Zug;6300 Zug;Kita;Children's World Zug;www.childrensworld.ch;Ja;;;;;http://childrensworld.ch/zweisprachigkeit-bei-childrens-world/;http://childrensworld.ch/tarifmodelle/;;;;;;;
Schweiz;Zug;6300 Zug;Kita;Chinderhus Frauensteinmatt;www.zuger-chinderhueser.ch;Ja;;;;;http://www.zuger-chinderhueser.ch/paedagogik-frauensteinmatt.html;http://www.zuger-chinderhueser.ch/tarife-frauensteinmatt.html;;;;;;;
Schweiz;Zug;6317 Oberwil b. Zug;Kita;Chinderhus Fuchsloch;www.zuger-chinderhueser.ch;Ja;;;;;http://www.zuger-chinderhueser.ch/paedagogik-fuchsloch.html;http://www.zuger-chinderhueser.ch/tarife-fuchsloch.html;;;;;;;
Schweiz;Zug;6300 Zug;Kita;Chinderhus Zugerbergstrasse;www.zuger-chinderhueser.ch;Ja;;;;;http://www.zuger-chinderhueser.ch/paedagogik-zugerbergstrasse.html;http://www.zuger-chinderhueser.ch/tarife-zugerbergstrasse.html;;;;;;;
Schweiz;Zug;6330 Cham;Kita;Chinderhuus Cham;www.chinderhuus-cham.ch;Ja;;Ja;;;http://www.familieplus-cham.ch/paedagogisches-konzept.html;http://www.familieplus-cham.ch/tarife.html;;;;;;;
Schweiz;Zug;6314 Unterägeri;Kita;Gemeinde Unterägeri Kinderkrippe Wichtelhuus;www.unteraegeri.ch;Ja;;;;;http://www.wichtelhuus.ch/kinder/paedagogik/index.html;http://www.wichtelhuus.ch/informationen/tarifordnung/index.html;http://www.wichtelhuus.ch/kinder/ernaehrung/index.html;;;;;;
Schweiz;Zug;6340 Baar;Kita;KIBIZ Chriesimatt;www.kibiz-zug.ch;Ja;Ja;;;;http://www.kibiz-zug.ch/fileadmin/web/KiBiZ_Dokumentdatenbank/DE_Dokumente/KiBiZ_Kitas/1_KiBiZ_Konzepte-Reglemente/KO_Konzept_Pa__dagogik_KiBiZ_Kitas_Version_2015.pdf;http://www.kibiz-zug.ch/de/kibiz-kitas/kosten/;http://www.kibiz-zug.ch/fileadmin/web/KiBiZ_Dokumentdatenbank/DE_Dokumente/KiBiZ_Kitas/1_KiBiZ_Konzepte-Reglemente/0417_KO_Erna__hrungskonzept_KiBiZ_Kitas.pdf;;;;;;
Schweiz;Zug;6300 Zug;Kita;KiBiZ Eichwald;www.kibiz-zug.ch;Ja;Ja;;;;http://www.kibiz-zug.ch/fileadmin/web/KiBiZ_Dokumentdatenbank/DE_Dokumente/KiBiZ_Kitas/1_KiBiZ_Konzepte-Reglemente/KO_Konzept_Pa__dagogik_KiBiZ_Kitas_Version_2015.pdf;http://www.kibiz-zug.ch/de/kibiz-kitas/kosten/;http://www.kibiz-zug.ch/fileadmin/web/KiBiZ_Dokumentdatenbank/DE_Dokumente/KiBiZ_Kitas/1_KiBiZ_Konzepte-Reglemente/0417_KO_Erna__hrungskonzept_KiBiZ_Kitas.pdf;;;;;;
Schweiz;Zug;6300 Zug;Kita;KiBiZ Guthirt;www.kibiz-zug.ch;Ja;Ja;;;;http://www.kibiz-zug.ch/fileadmin/web/KiBiZ_Dokumentdatenbank/DE_Dokumente/KiBiZ_Kitas/1_KiBiZ_Konzepte-Reglemente/KO_Konzept_Pa__dagogik_KiBiZ_Kitas_Version_2015.pdf;http://www.kibiz-zug.ch/de/kibiz-kitas/kosten/;http://www.kibiz-zug.ch/fileadmin/web/KiBiZ_Dokumentdatenbank/DE_Dokumente/KiBiZ_Kitas/1_KiBiZ_Konzepte-Reglemente/0417_KO_Erna__hrungskonzept_KiBiZ_Kitas.pdf;;;;;;
Schweiz;Zug;6300 Zug;Kita;KiBiZ Hofmatt;www.kibiz-zug.ch;Ja;Ja;;;;http://www.kibiz-zug.ch/fileadmin/web/KiBiZ_Dokumentdatenbank/DE_Dokumente/KiBiZ_Kitas/1_KiBiZ_Konzepte-Reglemente/KO_Konzept_Pa__dagogik_KiBiZ_Kitas_Version_2015.pdf;http://www.kibiz-zug.ch/de/kibiz-kitas/kosten/;http://www.kibiz-zug.ch/fileadmin/web/KiBiZ_Dokumentdatenbank/DE_Dokumente/KiBiZ_Kitas/1_KiBiZ_Konzepte-Reglemente/0417_KO_Erna__hrungskonzept_KiBiZ_Kitas.pdf;;;;;;
Schweiz;Zug;6300 Zug;Kita;KiBiZ Stampfi;www.kibiz-zug.ch;Ja;Ja;;;;http://www.kibiz-zug.ch/fileadmin/web/KiBiZ_Dokumentdatenbank/DE_Dokumente/KiBiZ_Kitas/1_KiBiZ_Konzepte-Reglemente/KO_Konzept_Pa__dagogik_KiBiZ_Kitas_Version_2015.pdf;http://www.kibiz-zug.ch/de/kibiz-kitas/kosten/;http://www.kibiz-zug.ch/fileadmin/web/KiBiZ_Dokumentdatenbank/DE_Dokumente/KiBiZ_Kitas/1_KiBiZ_Konzepte-Reglemente/0417_KO_Erna__hrungskonzept_KiBiZ_Kitas.pdf;;;;;;
Schweiz;Zug;6330 Cham;Kita;KIMI Tower AG;www.kimikrippen.ch;Ja;;;;;https://www.kimikrippen.ch/de/kinderbetreuung/betreuungsgrundsaetze.html;https://www.kimikrippen.ch/dam/jcr:1246fc56-66cb-4b0c-9bb7-2381896e0eac/Oeffnungszeiten_Tarife_Kinderkrippe_Cham.pdf;;;;;;;
Schweiz;Zug;6340 Baar;Kita;KIMI Tower AG;www.kimikrippen.ch;Ja;;;;;https://www.kimikrippen.ch/de/kinderbetreuung/betreuungsgrundsaetze.html;https://www.kimikrippen.ch/dam/jcr:2670302f-e2bd-41f4-8e60-2df05795be27/Anhang%20Öffnungszeiten%20und%20Tarife%20Krippen%20Baar%20Landhausstrasse.pdf;;;;;;;
Schweiz;Zug;6340 Baar;Kita;Kinderhaus Imago Baar;www.visoparents.ch;Ja;Ja;;;;;http://www.visoparents.ch/kita-kinderhaus-imago/baar/betreuungstarife-und-zeiten/;;;;;;;
Schweiz;Zug;6300 Zug;Kita;Kinderkrippe Ameisiland;http://www.ameisiland.ch/;Ja;;;;;http://www.ameisiland.ch/images/PK150216.pdf;http://www.ameisiland.ch/index.php/betreuungsangebot;;;;;;;
Schweiz;Zug;6312 Steinhausen;Kita;Kinderkrippe Chnopftrucke;www.chnopftrucke.ch;Ja;;;;;http://www.chnopftrucke.ch/styled-2/styled-9/;http://www.chnopftrucke.ch/styled-2/styled-6/;;;;;;;
Schweiz;Zug;6343 Rotkreuz;Kita;Kinderkrippe Lil' Mouse House;http://www.lilmousehouse.ch;Ja;;;;;http://www.lilmousehouse.ch/lil-mouse-house/paedagogische-arbeit/;http://www.lilmousehouse.ch/lil-mouse-house/tarife/;http://www.lilmousehouse.ch/lil-mouse-house/betriebskonzept/;;;;;;
Schweiz;Zug;6313 Menzingen;Kita;Kinderkrippe Rägeboge;www.raegeboge-kinder.ch;Ja;;;;;;https://www.raegeboge-kinder.ch/index.php/tarife;;;;;;;
Schweiz;Zug;6340 Baar;Kita;Kindertreff Miraculix;www.kindertreff-miraculix.ch;Ja;;;;;;https://kindertreff-miraculix.ch/angebot/tarife/;https://kindertreff-miraculix.ch/angebot/menu/;;;;;;
Schweiz;Zug;6343 Rotkreuz;Kita;Kita Langmatt;https://www.zg.ch/behoerden/gemeinden/risch-rotkreuz/verwaltung/soziales-gesundheit/kind-und-familie?searchterm=kinderbetreuung;Ja;;;Ja;;https://www.zg.ch/behoerden/gemeinden/risch-rotkreuz/verwaltung/soziales-gesundheit/kind-und-familie/tagesablauf;https://www.zg.ch/behoerden/gemeinden/risch-rotkreuz/verwaltung/soziales-gesundheit/kind-und-familie/tarifliste/Tarifliste.pdf/download;https://www.zg.ch/behoerden/gemeinden/risch-rotkreuz/verwaltung/soziales-gesundheit/kind-und-familie;;;;;;
Schweiz;Zug;6343 Rotkreuz;Kita;Kita Schatztruhe;www.kita-schatztruhe-rotkreuz.ch;Ja;;;;;https://www.kita-schatztruhe-rotkreuz.ch/uploads/pC3A4dagogisches_konzept_kita_schatztruhe_17.05.2011_v4.4.pdf;https://www.kita-schatztruhe-rotkreuz.ch/uploads/Tarifblatt_Kurz_KiTa_Schatztruhe_abJuni2018.pdf;;;;;;;
Schweiz;Zug;6330 Cham;Kita;Kita Schnäggehuus;www.kita-staedtli.ch;Ja;;;;Ja;;http://www.kita-staedtli.ch/tarife.php;;;;;;;
Schweiz;Zug;6330 Cham;Kita;Kita Städtli;www.kita-staedtli.ch;Ja;;;;Ja;;http://www.kita-staedtli.ch/tarife.php;;;;;;;
Schweiz;Zug;6331 Hünenberg;Kita;Kita TEIKI;www.fam-plus-huenenberg.ch;Ja;;;;;;http://www.fam-plus-huenenberg.ch/website/formulare2018/BetVerODek.html;;;;;;;
Schweiz;Zug;6300 Zug;Kita;Kita Wölkli;www.kita-woelkli.ch;Ja;;;;;https://www.kita-woelkli.ch/pädagogik/;;;;;;;;
Schweiz;Zug;6319 Allenwinden;Kita;Kita Wölkli;www.kita-woelkli.ch;Ja;;;;;https://www.kita-woelkli.ch/pädagogik/;;;;;;;;
Schweiz;Zug;6330 Cham;Kita;Nido Kita Kinderbetreuung;www.nido-kita.ch;Ja;;;Ja;Ja;http://www.nido-kita.ch/konzept.html;;;;;;;;
Schweiz;Zug;6340 Baar;Kita;small Foot Baar Spatzennest 1;http://www.spatzennest-baar.ch;Ja;;;;;https://www.spatzennest-baar.ch/pädagogik/;https://www.spatzennest-baar.ch/spatzennest-1/tarife/;;;;;;;
Schweiz;Zug;6340 Baar;Kita;small Foot Baar Spatzennest 2;http://www.spatzennest-baar.ch;Ja;;;;;https://www.spatzennest-baar.ch/pädagogik/;https://www.spatzennest-baar.ch/spatzennest-2/tarife/;;;;;;;
Schweiz;Zug;6330 Cham;Schulergänzende;Chinderhuus Cham;www.chinderhuus-cham.ch;Ja;;Ja;;;http://www.familieplus-cham.ch/paedagogisches-konzept.html;http://www.familieplus-cham.ch/tarife.html;;;;;;;
Schweiz;Zug;6331 Hünenberg;Schulergänzende;NASCHU;www.fam-plus-huenenberg.ch;Ja;;;;;;http://www.fam-plus-huenenberg.ch/website/formulare2018/BetVerODek.html;;;;;;;
Schweiz;Zug;6343 Rotkreuz;Schulergänzende;Tageskindergarten Big Bear House;www.bigbearhouse.ch;Ja;;;;;http://www.lilmousehouse.ch/big-bear-house/paedagogische-arbeit/;http://www.lilmousehouse.ch/big-bear-house/tarife/;http://www.lilmousehouse.ch/big-bear-house/betriebskonzept/;;;;;;
Schweiz;Zug;6314 Unterägeri;Tagesfamilien;Gemeinde Unterägeri Kinderkrippe Wichtelhuus;www.unteraegeri.ch;Ja;;;;;http://www.wichtelhuus.ch/kinder/paedagogik/index.html;http://www.wichtelhuus.ch/informationen/tarifordnung/index.html;http://www.wichtelhuus.ch/kinder/ernaehrung/index.html;;;;;;
Schweiz;Zug;6300 Zug;Tagesfamilien;KiBiZ Tagesfamilien;www.kibiz-zug.ch;Ja;Ja;;;;http://www.kibiz-zug.ch/fileadmin/web/KiBiZ_Dokumentdatenbank/DE_Dokumente/KiBiZ_Kitas/1_KiBiZ_Konzepte-Reglemente/KO_Konzept_Pa__dagogik_KiBiZ_Kitas_Version_2015.pdf;http://www.kibiz-zug.ch/de/kibiz-kitas/kosten/;http://www.kibiz-zug.ch/fileadmin/web/KiBiZ_Dokumentdatenbank/DE_Dokumente/KiBiZ_Kitas/1_KiBiZ_Konzepte-Reglemente/0417_KO_Erna__hrungskonzept_KiBiZ_Kitas.pdf;;;;;;
